Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Profit Margin %
DEBIT,6,4,159.69,472.45,Late delivery,1,9,Cardio Equipment,Brownsville,EE. UU.,Richard,1,Hernandez,Consumer,TX,6303 Heather Plaza,78521.0,3,Footwear,25.95364761,-97.5076828,Pacific Asia,Mumbai,India,1,27.5,0.06,99.99,0.34,5,499.95,472.45,159.69,South Asia,Maharashtra,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,31.941194119411943
DEBIT,4,4,48.71,167.96,Shipping on time,0,29,Shop By Sport,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,5,Golf,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,31.99,0.16,39.99,0.29,5,199.95,167.96,48.71,Central America,Cortés,ON_HOLD,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,24.361090272568145
DEBIT,4,4,87.36,181.99,Shipping on time,0,48,Water Sports,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,7,Fan Shop,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,18.0,0.09,199.99,0.48,1,199.99,181.99,87.36,Central America,Cortés,ON_HOLD,Pelican Sunstream 100 Kayak,199.99,Standard Class,43.68218410920546
DEBIT,6,4,-41.89,175.99,Late delivery,1,48,Water Sports,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,7,Fan Shop,38.37559509,-104.7260208,USCA,New York City,Estados Unidos,2,24.0,0.12,199.99,-0.24,1,199.99,175.99,-41.89,East of USA,Nueva York,COMPLETE,Pelican Sunstream 100 Kayak,199.99,Standard Class,-20.94604730236512
DEBIT,6,4,10.0,40.0,Late delivery,1,24,Women's Apparel,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,5,Golf,38.37559509,-104.7260208,USCA,New York City,Estados Unidos,2,10.0,0.2,50.0,0.25,1,50.0,40.0,10.0,East of USA,Nueva York,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,20.0
DEBIT,6,4,105.63,290.98,Late delivery,1,43,Camping & Hiking,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,7,Fan Shop,38.37559509,-104.7260208,USCA,New York City,Estados Unidos,2,9.0,0.03,299.98,0.36,1,299.98,290.98,105.63,East of USA,Nueva York,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,35.21234748983265
DEBIT,4,4,64.1,142.44,Shipping on time,0,46,Indoor/Outdoor Games,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,7,Fan Shop,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,7.5,0.05,49.98,0.45,3,149.94,142.44,64.1,Central America,Cortés,ON_HOLD,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,42.75043350673602
DEBIT,4,4,22.67,83.97,Shipping on time,0,46,Indoor/Outdoor Games,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,7,Fan Shop,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,15.99,0.16,49.98,0.27,2,99.96,83.97,22.67,Central America,Cortés,ON_HOLD,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,22.679071628651464
DEBIT,4,4,3.52,351.98,Shipping on time,0,45,Fishing,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,7,Fan Shop,38.37559509,-104.7260208,Europe,Rome,Italia,2,48.0,0.12,399.98,0.01,1,399.98,351.98,3.52,Southern Europe,Lacio,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,0.88004400220011
DEBIT,4,4,40.34,98.38,Shipping on time,0,17,Cleats,Littleton,EE. UU.,Mary,2,Barrett,Consumer,CO,9526 Noble Embers Ridge,80126.0,4,Apparel,38.37559509,-104.7260208,LATAM,San Pedro Sula,Honduras,2,21.6,0.18,59.99,0.41,2,119.98,98.38,40.34,Central America,Cortés,ON_HOLD,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,33.6222703783964
